[2026-01-17 21:30:15] LUT_lookup start: direction=forward, n_size=[1 1], value_size=[1 998]
[2026-01-17 21:30:15] LUT_lookup end.
[2026-01-24 23:23:43] LUT_lookup start: direction=inverse, n_size=[1201 4000], value_size=[1201 4000]
[2026-01-24 23:23:44] n=1: keep all 188166 values unchanged.
[2026-01-24 23:23:44] n=58: 5 below min->0, 0 above max->1, total=36115 (range=[0.1166, 1.0000]).
[2026-01-24 23:23:44] n=59: 4 below min->0, 0 above max->1, total=36590 (range=[0.1156, 1.0000]).
[2026-01-24 23:23:44] n=60: 4 below min->0, 0 above max->1, total=36242 (range=[0.1147, 1.0000]).
[2026-01-24 23:23:44] n=61: 7 below min->0, 0 above max->1, total=36133 (range=[0.1137, 1.0000]).
[2026-01-24 23:23:44] n=62: 2 below min->0, 0 above max->1, total=36676 (range=[0.1128, 1.0000]).
[2026-01-24 23:23:44] n=63: 6 below min->0, 0 above max->1, total=36713 (range=[0.1119, 1.0000]).
[2026-01-24 23:23:44] n=64: 4 below min->0, 0 above max->1, total=36829 (range=[0.1110, 1.0000]).
[2026-01-24 23:23:44] n=65: 2 below min->0, 0 above max->1, total=36574 (range=[0.1101, 1.0000]).
[2026-01-24 23:23:44] n=66: 7 below min->0, 0 above max->1, total=36910 (range=[0.1093, 1.0000]).
[2026-01-24 23:23:44] n=67: 9 below min->0, 0 above max->1, total=36773 (range=[0.1085, 1.0000]).
[2026-01-24 23:23:44] n=68: 5 below min->0, 0 above max->1, total=36761 (range=[0.1077, 1.0000]).
[2026-01-24 23:23:44] n=69: 7 below min->0, 0 above max->1, total=36568 (range=[0.1069, 1.0000]).
[2026-01-24 23:23:45] n=70: 5 below min->0, 0 above max->1, total=36453 (range=[0.1061, 1.0000]).
[2026-01-24 23:23:45] n=71: 7 below min->0, 0 above max->1, total=36763 (range=[0.1054, 1.0000]).
[2026-01-24 23:23:45] n=72: 6 below min->0, 0 above max->1, total=37049 (range=[0.1046, 1.0000]).
[2026-01-24 23:23:45] n=73: 8 below min->0, 0 above max->1, total=37119 (range=[0.1039, 1.0000]).
[2026-01-24 23:23:45] n=74: 6 below min->0, 0 above max->1, total=37167 (range=[0.1032, 1.0000]).
[2026-01-24 23:23:45] n=75: 7 below min->0, 0 above max->1, total=36977 (range=[0.1025, 1.0000]).
[2026-01-24 23:23:45] n=76: 10 below min->0, 0 above max->1, total=36968 (range=[0.1018, 1.0000]).
[2026-01-24 23:23:45] n=77: 11 below min->0, 0 above max->1, total=36820 (range=[0.1012, 1.0000]).
[2026-01-24 23:23:45] n=78: 9 below min->0, 0 above max->1, total=37110 (range=[0.1005, 1.0000]).
[2026-01-24 23:23:45] n=79: 10 below min->0, 0 above max->1, total=37035 (range=[0.0999, 1.0000]).
[2026-01-24 23:23:45] n=80: 11 below min->0, 0 above max->1, total=37098 (range=[0.0992, 1.0000]).
[2026-01-24 23:23:45] n=81: 12 below min->0, 0 above max->1, total=37152 (range=[0.0986, 1.0000]).
[2026-01-24 23:23:45] n=82: 8 below min->0, 0 above max->1, total=37783 (range=[0.0980, 1.0000]).
[2026-01-24 23:23:45] n=83: 9 below min->0, 0 above max->1, total=37470 (range=[0.0974, 1.0000]).
[2026-01-24 23:23:45] n=84: 13 below min->0, 0 above max->1, total=37658 (range=[0.0968, 1.0000]).
[2026-01-24 23:23:45] n=85: 7 below min->0, 0 above max->1, total=37805 (range=[0.0963, 1.0000]).
[2026-01-24 23:23:45] n=86: 12 below min->0, 0 above max->1, total=38114 (range=[0.0957, 1.0000]).
[2026-01-24 23:23:45] n=87: 13 below min->0, 0 above max->1, total=38151 (range=[0.0952, 1.0000]).
[2026-01-24 23:23:45] n=88: 17 below min->0, 0 above max->1, total=38459 (range=[0.0946, 1.0000]).
[2026-01-24 23:23:45] n=89: 11 below min->0, 0 above max->1, total=38372 (range=[0.0941, 1.0000]).
[2026-01-24 23:23:45] n=90: 10 below min->0, 0 above max->1, total=38873 (range=[0.0935, 1.0000]).
[2026-01-24 23:23:45] n=91: 17 below min->0, 0 above max->1, total=39294 (range=[0.0930, 1.0000]).
[2026-01-24 23:23:45] n=92: 11 below min->0, 0 above max->1, total=39453 (range=[0.0925, 1.0000]).
[2026-01-24 23:23:45] n=93: 10 below min->0, 0 above max->1, total=39774 (range=[0.0920, 1.0000]).
[2026-01-24 23:23:45] n=94: 15 below min->0, 0 above max->1, total=40333 (range=[0.0915, 1.0000]).
[2026-01-24 23:23:45] n=95: 14 below min->0, 0 above max->1, total=40665 (range=[0.0910, 1.0000]).
[2026-01-24 23:23:45] n=96: 19 below min->0, 0 above max->1, total=41087 (range=[0.0906, 1.0000]).
[2026-01-24 23:23:45] n=97: 18 below min->0, 0 above max->1, total=41602 (range=[0.0901, 1.0000]).
[2026-01-24 23:23:45] n=98: 16 below min->0, 0 above max->1, total=41696 (range=[0.0896, 1.0000]).
[2026-01-24 23:23:45] n=99: 15 below min->0, 0 above max->1, total=42013 (range=[0.0892, 1.0000]).
[2026-01-24 23:23:45] n=100: 22 below min->0, 0 above max->1, total=42728 (range=[0.0887, 1.0000]).
[2026-01-24 23:23:45] n=101: 21 below min->0, 0 above max->1, total=42728 (range=[0.0883, 1.0000]).
[2026-01-24 23:23:45] n=102: 19 below min->0, 0 above max->1, total=43074 (range=[0.0879, 1.0000]).
[2026-01-24 23:23:45] n=103: 21 below min->0, 0 above max->1, total=43465 (range=[0.0874, 1.0000]).
[2026-01-24 23:23:45] n=104: 17 below min->0, 0 above max->1, total=43544 (range=[0.0870, 1.0000]).
[2026-01-24 23:23:45] n=105: 19 below min->0, 0 above max->1, total=43248 (range=[0.0866, 1.0000]).
[2026-01-24 23:23:45] n=106: 13 below min->0, 0 above max->1, total=43301 (range=[0.0862, 1.0000]).
[2026-01-24 23:23:45] n=107: 23 below min->0, 0 above max->1, total=43320 (range=[0.0858, 1.0000]).
